City_ID,City,Country,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Current Description
1245,celestun,MX,20.8667,-90.4,74.53,67,6,18.3,clear sky
1246,filomeno mata,MX,20.2,-97.7,61.43,81,79,3.47,broken clouds
1247,bara,NG,10.3744,10.7288,76.57,16,14,7.07,few clouds
1248,miles city,US,46.4083,-105.8406,69.8,14,1,6.91,clear sky
1249,walvis bay,NA,-22.9575,14.5053,64.99,84,93,3,overcast clouds
1250,sabang,ID,5.8933,95.3214,82.8,72,97,12.17,overcast clouds
1251,acarau,BR,-2.8856,-40.12,77.74,88,85,10.69,overcast clouds
1252,liwale,TZ,-9.7667,37.9333,67.14,98,97,3.65,overcast clouds
1253,usinsk,RU,65.9939,57.5281,10.6,99,71,3.91,broken clouds
1254,arua,UG,3.0201,30.9111,67.26,77,100,5.79,overcast clouds
1255,fairmont,US,39.4851,-80.1426,60.8,27,1,3.31,clear sky
1256,dharchula,IN,29.85,80.5333,69.08,12,0,3.04,clear sky
1257,kanker,IN,20.2719,81.4931,82.02,14,0,2.98,clear sky
1258,catuday,PH,16.2923,119.8062,82,65,20,4.52,few clouds
1259,magadan,RU,59.5667,150.8,20.1,52,100,5.12,overcast clouds
1260,haapiti,PF,-17.5667,-149.8667,86,70,20,12.66,few clouds
1261,ensenada,MX,31.8667,-116.6167,64,79,12,1.99,few clouds
1262,riosucio,CO,5.4216,-75.7032,73.4,73,40,9.22,scattered clouds
1263,zempoala,MX,19.45,-96.4167,75.99,64,20,6.91,few clouds
1264,purpe,RU,64.4803,76.6897,32.97,99,100,14.36,overcast clouds
1265,killarney,IE,52.05,-9.5167,45.18,95,100,7.09,overcast clouds
1266,perth,AU,-31.9333,115.8333,75.99,68,75,5.75,broken clouds
1267,naantali,FI,60.4674,22.0243,39.2,93,90,13.8,light rain
1268,rio gallegos,AR,-51.6226,-69.2181,41,60,0,10.36,clear sky
1269,daru,PG,-9.0763,143.2092,80.8,84,97,5.77,overcast clouds
1270,san bartolome de tirajana,ES,27.9248,-15.5733,64.4,63,75,10.36,broken clouds
1271,ramnagar,IN,29.4,79.1167,77.72,14,19,3.38,few clouds
1272,dobryanka,RU,58.4619,56.4165,32,93,0,8.95,clear sky
1273,kyabe,TD,9.4515,18.9449,83.59,15,41,4.81,scattered clouds
1274,mukhen,RU,48.1,136.1,46.89,34,87,8.9,overcast clouds
1275,butembo,CD,0.15,29.2833,59.09,93,100,3.87,overcast clouds
1276,jardim,BR,-21.4803,-56.1381,83.53,42,100,7.72,overcast clouds
1277,tres palos,MX,18.1833,-101.6167,73.02,53,80,5.01,broken clouds
1278,dakar,SN,14.6937,-17.4441,69.8,78,57,6.91,broken clouds
1279,tymovskoye,RU,50.8456,142.655,33.51,59,56,4.32,broken clouds
1280,sehithwa,BW,-20.4667,22.7167,69.93,48,0,4.05,clear sky
1281,rundu,NA,-17.9333,19.7667,64.11,60,4,3.6,clear sky
1282,eyl,SO,7.9803,49.8164,78.13,81,100,3.71,overcast clouds
1283,ravar,IR,31.2656,56.8055,52.05,23,0,1.77,clear sky
1284,itupiranga,BR,-5.1347,-49.3267,74.1,95,32,1.83,scattered clouds
1285,kasongo-lunda,CD,-6.4667,16.8167,70.63,98,100,0.45,light rain
1286,namie,JP,37.4833,141,48,92,100,17.9,overcast clouds
1287,prata,BR,-19.3072,-48.9242,72.81,52,43,4.88,scattered clouds
1288,busayra,JO,30.7376,35.6078,50.63,24,0,3.09,clear sky
1289,verkh-usugli,RU,52.7,115.1667,34.12,38,0,14.41,clear sky
1290,ntchisi,MW,-13.5278,33.9149,57.04,96,40,3.69,scattered clouds
1291,napasar,IN,27.9667,73.55,81.25,23,59,13.67,broken clouds
1292,akureyri,IS,65.6835,-18.0878,17.6,62,90,11.5,light snow
1293,johnstown,US,40.3267,-78.922,53.6,28,1,16.11,clear sky
1294,kurumkan,RU,54.3,110.3,34.23,52,38,6.44,scattered clouds
1295,minden,DE,52.2833,8.9167,41,75,100,17.27,overcast clouds
1296,oxapampa,PE,-10.5775,-75.4017,58.21,97,80,3.15,broken clouds
1297,labytnangi,RU,66.6572,66.4183,24.67,95,100,5.64,overcast clouds
1298,leh,IN,34.1667,77.5833,34.83,83,99,5.14,light snow
1299,maarianhamina,AX,60.0973,19.9348,41,75,75,13.8,broken clouds
1300,kudahuvadhoo,MV,2.6708,72.8944,83.71,72,30,11.52,scattered clouds
