City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
398,Ormara,0,PK,2021-04-03 01:10:50,37,25.2088,64.6357,84.15,7.83
399,Coquimbo,0,CL,2021-04-03 01:08:52,82,-29.9533,-71.3436,59.0,4.61
400,Kaitong,90,CN,2021-04-03 01:10:51,18,44.8135,123.15,43.25,17.83
401,Onguday,19,RU,2021-04-03 01:10:51,57,50.75,86.15,25.52,2.44
402,Tulsipur,0,NP,2021-04-03 01:10:51,10,28.131,82.2973,63.5,7.45
403,Inhambane,0,MZ,2021-04-03 01:07:23,80,-23.865,35.3833,70.57,5.37
404,Isangel,90,VU,2021-04-03 01:07:30,84,-19.55,169.2667,86.0,4.03
405,Tuy Hoa,85,VN,2021-04-03 01:07:02,75,13.0833,109.3,82.36,1.7
406,Srednekolymsk,81,RU,2021-04-03 01:10:52,83,67.45,153.6833,-1.52,4.43
407,Chokwe,0,MZ,2021-04-03 01:10:52,67,-24.5333,32.9833,68.25,5.64
408,Kielce,100,PL,2021-04-03 01:08:26,1,50.8703,20.6275,39.0,3.06
409,Labuhan,86,ID,2021-04-03 01:10:53,77,-6.8844,112.2051,82.15,3.65
410,Gisborne,29,NZ,2021-04-03 01:10:53,59,-38.6533,178.0042,63.0,5.99
411,Montepuez,45,MZ,2021-04-03 01:10:53,99,-13.1256,38.9997,66.58,4.81
412,Taltal,47,CL,2021-04-03 01:10:20,81,-25.4,-70.4833,65.53,3.02
413,Muyezerskiy,96,RU,2021-04-03 01:10:54,97,63.9333,31.65,23.86,2.44
414,Asyut,0,EG,2021-04-03 01:10:54,62,27.181,31.1837,51.8,8.05
415,Penukonda,96,IN,2021-04-03 01:10:54,51,14.0833,77.5833,72.72,7.36
416,Vardo,35,NO,2021-04-03 01:08:47,79,70.3705,31.1107,30.15,5.37
417,Acapulco,40,MX,2021-04-03 01:10:55,83,16.8634,-99.8901,82.4,9.22
418,Tiznit,3,MA,2021-04-03 01:10:55,75,29.5833,-9.5,58.15,2.75
419,Krasnoyarskiy,100,RU,2021-04-03 01:10:55,80,51.965,59.8967,25.93,10.11
420,Auki,64,SB,2021-04-03 01:08:06,60,-8.7676,160.7034,87.51,3.11
421,San Luis,96,AR,2021-04-03 01:08:04,61,-33.295,-66.3356,65.35,7.31
422,Dharangaon,0,IN,2021-04-03 01:10:56,51,21.0167,75.2667,76.5,10.49
423,Yar-Sale,100,RU,2021-04-03 01:07:11,98,66.8333,70.8333,29.08,7.38
424,Rawson,2,AR,2021-04-03 01:10:56,69,-43.3002,-65.1023,65.5,11.27
425,Diapaga,0,BF,2021-04-03 01:10:57,9,12.0708,1.7889,78.94,6.71
426,Madingou,100,CG,2021-04-03 01:10:57,94,-4.1536,13.55,73.94,1.14
427,Vanavara,99,RU,2021-04-03 01:10:57,90,60.34,102.2797,25.54,8.99
428,Xiaoweizhai,100,CN,2021-04-03 01:06:06,93,26.1903,107.5125,54.18,4.76
429,North Battleford,75,CA,2021-04-03 01:10:58,23,52.7834,-108.2847,46.4,5.75
430,Tres Arroyos,6,AR,2021-04-03 01:10:58,77,-38.3739,-60.2798,60.21,8.21
431,Kananga,100,CD,2021-04-03 01:10:58,92,-5.8958,22.4178,68.85,2.15
